"SITE_ID","VISIT_NO","SAMPLE_ID","H2O_dD","H2O_d18O","d.excess"
"NRS18_AR_10014","1",890340,-21.86,-3.82,8.71
"NRS18_AR_10015","1",890420,-13.21,-1.55,-0.78
"NRS18_AR_10016","1",896380,-23.05,-3.94,8.5
"NRS18_AR_10017","1",896860,-41.99,-6.25,7.99
"NRS18_AR_10018","1",896340,-11.06,-1.75,2.93
"NRS18_AR_10021","1",103020,-28.72,-4.78,9.51
"NRS18_AR_10022","1",103080,-25.57,-4.04,6.74
"NRS18_AR_10024","1",103000,-24.86,-4.37,10.07
"NRS18_AR_10025","1",100560,-30.56,-5.16,10.72
"NRS18_AR_10026","1",100900,-46.06,-6.96,9.63
"NRS18_AR_10027","1",102960,-13.12,-2.26,4.94
"NRS18_AR_10034","1",104160,-26.15,-4.21,7.49
