"SITE_ID","VISIT_NO","SAMPLE_ID","dD..vsmow.","d18O..vsmow.","d.excess"
"FW08WI088","1",556271,-92.04,-12.97,11.73
"FW08WI098","1",552291,-69.62,-9.73,8.21
"FW08WI100","1",556311,-70.56,-10.35,12.23
"FW08WI104","1",556211,-46.94,-5.48,-3.08
"FW08WV001","1",547661,-50.63,-7.66,10.67
"FW08WV001","2",549521,-47.3,-7.65,13.9
"FW08WV001","2",553261,-47.64,-7.85,15.14
"FW08WV002","2",549861,-36.81,-5.81,9.63
"FW08WV002","1",523041,-43.11,-6.66,10.17
"FW08WV002","2",544051,-37.43,-6.35,13.35
"FW08WV003","1",521251,-46.73,-7.46,12.97
"FW08WV004","1",525211,-47.47,-7.54,12.85
"FW08WV005","1",526581,-38.71,-6.09,10.05
"FW08WV006","1",529991,-33.09,-5.29,9.27
"FW08WV007","2",521651,-49.11,-7.13,7.93
"FW08WV007","1",521841,-52.29,-7.73,9.55
"FW08WV008","2",526211,-40.19,-6.3,10.2
"FW08WV008","1",521881,-43.22,-7.05,13.17
"FW08WV008","2",532551,-40.6,-6.73,13.24
"FW08WV009","1",528051,-35.71,-6.19,13.83
"FW08WV010","1",521661,-47.03,-7.18,10.4
"FW08WV012","1",544561,-49.41,-7.77,12.72
"FW08WV013","1",525961,-39.74,-6.42,11.63
"FW08WV014","1",528341,-39.43,-6.43,12.04
"FW08WV015","1",544021,-45.82,-7.18,11.64
"FW08WV016","1",531531,-47.05,-7.87,15.93
"FW08WV018","1",549931,-34.82,-5.34,7.94
"FW08WV019","1",524361,-51.66,-8.51,16.45
"FW08WV022","1",526471,-32.13,-4.99,7.78
"FW08WV023","1",526291,-34.85,-5.55,9.59
"FW08WV024","1",524311,-44.47,-6.67,8.91
"FW08WV025","1",544201,-35.3,-5.65,9.89
"FW08WV026","1",521541,-46.41,-7.03,9.8
"FW08WV027","1",525181,-39.77,-6.22,9.96
"FW08WV028","1",547671,-46.23,-7.55,14.15
"FW08WV029","1",521821,-32.83,-6.15,16.34
"FW08WV030","1",535101,-46.31,-6.74,7.59
"FW08WV031","2",549941,-47.5,-6.91,7.79
"FW08WV031","2",549951,-49.22,-7.61,11.69
"FW08WV031","1",526241,-51.6,-8.22,14.18
"FW08WV032","1",526621,-48.34,-7.72,13.39
"FW08WV033","1",521801,-37.21,-5.96,10.51
"FW08WV034","1",535771,-51.83,-7.87,11.15
"FW08WV035","1",545601,-41.76,-5.83,4.91
"FW08WV037","1",544291,-35.26,-5.58,9.4
"FW08WY001","1",543231,-132.19,-17.12,4.81
"FW08WY004","1",540751,-102.74,-11.47,-10.94
"FW08WY005","1",546881,-117.89,-15.17,3.5
"FW08WY006","1",524391,-131.53,-16.89,3.62
"FW08WY007","1",552931,-127.86,-14.61,-10.99
"FW08WY008","1",523461,-131.32,-16.76,2.76
"FW08WY009","1",534601,-141.99,-18.43,5.47
"FW08WY010","1",549261,-128.49,-17.35,10.32
"FW08WY011","1",523731,-103.41,-12.73,-1.53
"FW08WY012","1",547621,-146.24,-19.02,5.88
"FW08WY012","1",547601,-145.19,-18.96,6.48
"FW08WY012","2",543101,-145.41,-19,6.59
"FW08WY013","1",525541,-116.87,-13.97,-5.1
"FW08WY014","1",534441,-127.07,-16.5,4.94
"FW08WY016","1",547711,-117.4,-14.84,1.33
"FW08WY016","1",543261,-117.28,-14.84,1.44
"FW08WY016","2",544091,-119.13,-15.07,1.46
"FW08WY020","1",533841,-71.22,-8.87,-0.27
"FW08WY021","1",551901,-136.28,-17.97,7.5
"FW08WY021","2",549251,-136.78,-18.21,8.89
"FW08WY021","2",543111,-137.06,-18.32,9.48
"FW08WY022","1",546911,-132.95,-16.08,-4.33
"FW08WY025","2",543251,-132.89,-17.15,4.29
"FW08WY025","1",540851,-134.9,-17.54,5.45
"FW08WY025","2",543121,-132.29,-17.26,5.77
"FW08WY026","1",523681,-108.94,-12.64,-7.81
"FW08WY028","1",547631,-125.21,-16.37,5.73
"FW08WY029","1",547721,-130.9,-16.59,1.81
"FW08WY030","1",525621,-80.59,-9.36,-5.72
"FW08WY031","1",524221,-141.8,-18.87,9.16
"FW08WY032","1",525601,-63.15,-7.58,-2.52
"FW08WY034","1",524451,-117.02,-14.39,-1.89
"FW08WY038","1",534461,-128.14,-15.62,-3.2
"FW08WY039","1",550121,-119.84,-15.21,1.8
"FW08WY040","1",547421,-124.26,-16.29,6.04
"FW08WY041","1",546891,-124.33,-16.31,6.13
"FW08WY042","1",523691,-120.12,-14.66,-2.86
"FW08WY043","1",534431,-100.49,-11.94,-4.95
"FW08WY044","1",551931,-132.43,-17.9,10.8
"FW08WY045","1",547501,-131.03,-16.29,-0.72
"FW08WY046","1",525561,-88.39,-11.14,0.71
"FW08WY047","1",547411,-121.16,-16.08,7.48
"FW08WY050","1",528751,-116.05,-14.12,-3.07
"FW08WY051","1",523741,-121.7,-15.86,5.18
"FW08WY052","1",551831,-131.24,-17.47,8.5
"FW08WY054","1",546541,-110.26,-12.54,-9.93
"FW08WY055","1",524201,-128.9,-15.45,-5.27
"FW08WY056","1",547681,-126.94,-16.7,6.64
"FW08WY057","1",547611,-126.56,-16.22,3.18
"FW08WY058","1",525511,-84.07,-10.82,2.49
"FW08WY061","1",533851,-132.71,-16.49,-0.8
"FW08WY062","1",545981,-77.86,-8.47,-10.08
"FW08WY068","1",547731,-120.92,-15.51,3.15
"FW08WY070","1",540731,-114.08,-13.47,-6.32
"FW08WY071","1",545541,-118.35,-15.19,3.2
"FW08WY075","1",546171,-132.22,-17.57,8.31
